,brief,header,pub_time,url
0,财政部经济建设司副司长宋秋玲日前公开表示，新能源汽车结构性产能过剩风险加剧，低端产能过剩而高端产能却不足，产业出现盲目扩张态势，且投资也出现了过热苗头。宁德时代副董事长黄世霖日前在出席公开活动时称，国内动力电池行业结构性产能过剩预计将会延续到2023年。（中新网）,业内人士：国内动力电池结构性产能过剩将延续至2023年,2018-09-06 20:36,http://www.chinanews.com/business/2018/09-06/8620499.shtml
1,36氪讯，9月6日，寺库集团公布了2018年第二季度未审计财报。财报显示，2018年第二季度，寺库总净收入为12.201亿元人民币(约合1.844亿美元)，同比增长55.5%；第二季度GMV收入为16.534亿元人民币(约合2.499亿美元)，同比增长44.7%；按照非美国通用会计准则调整后净利润4100万元人民币(约合620万美元)，同比增长42.4%。。,寺库2018年第二季度财报：GMV 16.534亿元，同比增长44.7%,2018-09-06 20:34,http://share.baidu.com/s?type=text&searchPic=1&sign=on&to=tsina&key=595885820&url=http://36kr.com/newsflashes/135652&title=36%E6%B0%AA%E8%AE%AF%EF%BC%8C9%E6%9C%886%E6%97%A5%EF%BC%8C%E5%AF%BA%E5%BA%93%E9%9B%86%E5%9B%A2%E5%85%AC%E5%B8%83%E4%BA%862018%E5%B9%B4%E7%AC%AC%E4%BA%8C%E5%AD%A3%E5%BA%A6%E6%9C%AA%E5%AE%A1%E8%AE%A1%E8%B4%A2%E6%8A%A5%E3%80%82%E8%B4%A2%E6%8A%A5%E6%98%BE%E7%A4%BA%EF%BC%8C2018%E5%B9%B4%E7%AC%AC%E4%BA%8C%E5%AD%A3%E5%BA%A6%EF%BC%8C%E5%AF%BA%E5%BA%93%E6%80%BB%E5%87%80%E6%94%B6%E5%85%A5%E4%B8%BA12.201%E4%BA%BF%E5%85%83%E4%BA%BA%E6%B0%91%E5%B8%81(%E7%BA%A6%E5%90%881.844%E4%BA%BF%E7%BE%8E%E5%85%83)%EF%BC%8C%E5%90%8C%E6%AF%94%E5%A2%9E%E9%95%BF55.5%25%EF%BC%9B%E7%AC%AC%E4%BA%8C%E5%AD%A3%E5%BA%A6GMV%E6%94%B6%E5%85%A5%E4%B8%BA16.534%E4%BA%BF%E5%85%83%E4%BA%BA%E6%B0%91%E5%B8%81(%E7%BA%A6%E5%90%882.499%E4%BA%BF%E7%BE%8E%E5%85%83)%EF%BC%8C%E5%90%8C%E6%AF%94%E5%A2%9E%E9%95%BF44.7%25%EF%BC%9B%E6%8C%89%E7%85%A7%E9%9D%9E%E7%BE%8E%E5%9B%BD%E9%80%9A%E7%94%A8%E4%BC%9A%E8%AE%A1%E5%87%86%E5%88%99%E8%B0%83%E6%95%B4%E5%90%8E%E5%87%80%E5%88%A9%E6%B6%A64100%E4%B8%87%E5%85%83%E4%BA%BA%E6%B0%91%E5%B8%81(%E7%BA%A6%E5%90%88620%E4%B8%87%E7%BE%8E%E5%85%83)%EF%BC%8C%E5%90%8C%E6%AF%94%E5%A2%9E%E9%95%BF42.4%25%E3%80%82%E3%80%82
2,人民日报新媒体中心主任丁伟在2018中国网络媒体论坛内容分论坛中表示，在移动端的短视频并不是简短的传统电视视频，他们的要诀是同期声、大字幕、视频的前二十秒等要素。特别值得关注的是移动化、社交化结合起来的社交小视频有可能引起增长神话。从可读到可视，从静态到动画，从一维到多维，这是新媒体演进的重要方向，短视频将成为未来传播的主要形态。（新浪）,人民日报新媒体中心主任丁伟：短视频将成为主要的传播形态,2018-09-06 20:31,http://share.baidu.com/s?type=text&searchPic=1&sign=on&to=tsina&key=595885820&url=http://36kr.com/newsflashes/135651&title=%E4%BA%BA%E6%B0%91%E6%97%A5%E6%8A%A5%E6%96%B0%E5%AA%92%E4%BD%93%E4%B8%AD%E5%BF%83%E4%B8%BB%E4%BB%BB%E4%B8%81%E4%BC%9F%E5%9C%A82018%E4%B8%AD%E5%9B%BD%E7%BD%91%E7%BB%9C%E5%AA%92%E4%BD%93%E8%AE%BA%E5%9D%9B%E5%86%85%E5%AE%B9%E5%88%86%E8%AE%BA%E5%9D%9B%E4%B8%AD%E8%A1%A8%E7%A4%BA%EF%BC%8C%E5%9C%A8%E7%A7%BB%E5%8A%A8%E7%AB%AF%E7%9A%84%E7%9F%AD%E8%A7%86%E9%A2%91%E5%B9%B6%E4%B8%8D%E6%98%AF%E7%AE%80%E7%9F%AD%E7%9A%84%E4%BC%A0%E7%BB%9F%E7%94%B5%E8%A7%86%E8%A7%86%E9%A2%91%EF%BC%8C%E4%BB%96%E4%BB%AC%E7%9A%84%E8%A6%81%E8%AF%80%E6%98%AF%E5%90%8C%E6%9C%9F%E5%A3%B0%E3%80%81%E5%A4%A7%E5%AD%97%E5%B9%95%E3%80%81%E8%A7%86%E9%A2%91%E7%9A%84%E5%89%8D%E4%BA%8C%E5%8D%81%E7%A7%92%E7%AD%89%E8%A6%81%E7%B4%A0%E3%80%82%E7%89%B9%E5%88%AB%E5%80%BC%E5%BE%97%E5%85%B3%E6%B3%A8%E7%9A%84%E6%98%AF%E7%A7%BB%E5%8A%A8%E5%8C%96%E3%80%81%E7%A4%BE%E4%BA%A4%E5%8C%96%E7%BB%93%E5%90%88%E8%B5%B7%E6%9D%A5%E7%9A%84%E7%A4%BE%E4%BA%A4%E5%B0%8F%E8%A7%86%E9%A2%91%E6%9C%89%E5%8F%AF%E8%83%BD%E5%BC%95%E8%B5%B7%E5%A2%9E%E9%95%BF%E7%A5%9E%E8%AF%9D%E3%80%82%E4%BB%8E%E5%8F%AF%E8%AF%BB%E5%88%B0%E5%8F%AF%E8%A7%86%EF%BC%8C%E4%BB%8E%E9%9D%99%E6%80%81%E5%88%B0%E5%8A%A8%E7%94%BB%EF%BC%8C%E4%BB%8E%E4%B8%80%E7%BB%B4%E5%88%B0%E5%A4%9A%E7%BB%B4%EF%BC%8C%E8%BF%99%E6%98%AF%E6%96%B0%E5%AA%92%E4%BD%93%E6%BC%94%E8%BF%9B%E7%9A%84%E9%87%8D%E8%A6%81%E6%96%B9%E5%90%91%EF%BC%8C%E7%9F%AD%E8%A7%86%E9%A2%91%E5%B0%86%E6%88%90%E4%B8%BA%E6%9C%AA%E6%9D%A5%E4%BC%A0%E6%92%AD%E7%9A%84%E4%B8%BB%E8%A6%81%E5%BD%A2%E6%80%81%E3%80%82%EF%BC%88%E6%96%B0%E6%B5%AA%EF%BC%89
3,美团点评今日在香港举行上市新闻发布会。美团点评将于本周五(9月7日)起公开招股，美团IPO定价区间已敲定，每股定价为60港币-72港币，定价区间为3575亿港币-4290亿港币（约455亿美元-547亿美元）。（网易）,美团点评估值将超450亿美元，9月20日正式挂牌上市,2018-09-06 20:29,http://tech.163.com/18/0906/18/DR1SFD1R00097U7R.html
4,近日，一个名为“京东快递”的小程序上线，该小程序关联账号的认证主体为京东物流。这也意味着，个人用户寄快递的时候，除了顺丰、通达系等专业快递企业之外，又多了一个选择。用户可以通过京东快递小程序下单，可以要求一小时上门取件，或者预约多个不同的时间段。京东快递的价格在顺丰和通达系之间。（界面）,“京东快递”小程序上线，加入C端市场竞争,2018-09-06 20:05,https://www.jiemian.com/article/2449335.html
5,在今日美团IPO新闻发布会上，美团点评联合创始人兼高级副总裁王慧文表示，我们会评估资源投产比比较高，不会加大投入网约车，跟“food”相关的资源投入，会有更好的业务投入产出比。他同时表示，收购摩拜跟美团业务有协同空间，单车是刚需服务，美团海外的进入情况会评估每个地方的经营情况，评估投入产出如何配置合适。（界面）,美团点评IPO发布会：不会加大投入网约车,2018-09-06 19:59,https://www.jiemian.com/article/2450447.html
6,9月6日，京东集团宣布，美国匹兹堡大学John A. Jurenko 杰出冠名讲席教授黄恒博士加入京东。资料显示，黄恒教授是机器学习、人工智能、大数据、计算机视觉等领域国际领先的科学家。据悉，黄恒教授将加入位于硅谷的京东大数据与智能供应链事业部研发中心，担任京东大数据首席科学家。（腾讯一线）,美国匹兹堡大学黄恒加入京东，任大数据首席科学家,2018-09-06 19:52,http://tech.qq.com/a/20180906/093924.htm
7,国务院总理李克强9月6日主持召开国务院常务会议，确定落实新修订的个人所得税法的配套措施，为广大群众减负；决定完善政策确保创投基金税负总体不增；加大财税金融支持，对个人在二级市场买卖新三板股票比照上市公司股票，对差价收入免征个税。（中国政府网）,国务院：落实个税法配套措施，抓紧研究降低社保费率,2018-09-06 19:35,http://www.gov.cn/premier/2018-09/06/content_5319849.htm
8,36氪讯，消息人士透露，华兴将于下周正式启动PDIE 分析师预路演，并于9月中旬开启一系列国际路演行程。华兴此次上市募资金额为3-4亿美元，将主要用于拓展投资银行、投资管理、私人财富管理以及技术研发等方面。据接近交易人士透露，目前投行看好华兴在新经济金融服务领域的稀缺性，给予华兴资本的估值区间为30-40亿美元。,华兴资本将于9月中旬开启国际路演，上市募资金额为3-4亿美元,2018-09-06 19:20,http://share.baidu.com/s?type=text&searchPic=1&sign=on&to=tsina&key=595885820&url=http://36kr.com/newsflashes/135645&title=36%E6%B0%AA%E8%AE%AF%EF%BC%8C%E6%B6%88%E6%81%AF%E4%BA%BA%E5%A3%AB%E9%80%8F%E9%9C%B2%EF%BC%8C%E5%8D%8E%E5%85%B4%E5%B0%86%E4%BA%8E%E4%B8%8B%E5%91%A8%E6%AD%A3%E5%BC%8F%E5%90%AF%E5%8A%A8PDIE%20%E5%88%86%E6%9E%90%E5%B8%88%E9%A2%84%E8%B7%AF%E6%BC%94%EF%BC%8C%E5%B9%B6%E4%BA%8E9%E6%9C%88%E4%B8%AD%E6%97%AC%E5%BC%80%E5%90%AF%E4%B8%80%E7%B3%BB%E5%88%97%E5%9B%BD%E9%99%85%E8%B7%AF%E6%BC%94%E8%A1%8C%E7%A8%8B%E3%80%82%E5%8D%8E%E5%85%B4%E6%AD%A4%E6%AC%A1%E4%B8%8A%E5%B8%82%E5%8B%9F%E8%B5%84%E9%87%91%E9%A2%9D%E4%B8%BA3-4%E4%BA%BF%E7%BE%8E%E5%85%83%EF%BC%8C%E5%B0%86%E4%B8%BB%E8%A6%81%E7%94%A8%E4%BA%8E%E6%8B%93%E5%B1%95%E6%8A%95%E8%B5%84%E9%93%B6%E8%A1%8C%E3%80%81%E6%8A%95%E8%B5%84%E7%AE%A1%E7%90%86%E3%80%81%E7%A7%81%E4%BA%BA%E8%B4%A2%E5%AF%8C%E7%AE%A1%E7%90%86%E4%BB%A5%E5%8F%8A%E6%8A%80%E6%9C%AF%E7%A0%94%E5%8F%91%E7%AD%89%E6%96%B9%E9%9D%A2%E3%80%82%E6%8D%AE%E6%8E%A5%E8%BF%91%E4%BA%A4%E6%98%93%E4%BA%BA%E5%A3%AB%E9%80%8F%E9%9C%B2%EF%BC%8C%E7%9B%AE%E5%89%8D%E6%8A%95%E8%A1%8C%E7%9C%8B%E5%A5%BD%E5%8D%8E%E5%85%B4%E5%9C%A8%E6%96%B0%E7%BB%8F%E6%B5%8E%E9%87%91%E8%9E%8D%E6%9C%8D%E5%8A%A1%E9%A2%86%E5%9F%9F%E7%9A%84%E7%A8%80%E7%BC%BA%E6%80%A7%EF%BC%8C%E7%BB%99%E4%BA%88%E5%8D%8E%E5%85%B4%E8%B5%84%E6%9C%AC%E7%9A%84%E4%BC%B0%E5%80%BC%E5%8C%BA%E9%97%B4%E4%B8%BA30-40%E4%BA%BF%E7%BE%8E%E5%85%83%E3%80%82
9,国务院常务会议今日决定，保持地方已实施的创投基金税收支持政策稳定，由有关部门结合修订个人所得税法实施条例，按照不溯及既往、确保总体税负不增的原则，抓紧完善进一步支持创投基金发展的税收政策。(中国政府网),国务院常务会议：不溯及既往，确保创投基金总体税负不增,2018-09-06 19:13,http://www.gov.cn/guowuyuan/2018-09/06/content_5319849.htm
