,brief,header,pubtime,savetime
0,迅雷集团、网心科技 CEO 陈磊近日在接受采访时称：「迅雷是出于自身的基因和优势，才选择切入共享计算和区块链领域的。所以大家可以看到，现在的迅雷就是一家云计算与区块链技术服务公司。我们的区块链业务上线之时，就明确的在官方网站上表示「不做 ICO」、「不推出交易平台」、「不鼓励用户交易」，传达我们明确的态度。」,迅雷 CEO：迅雷现在是一家云计算与区块链技术服务公司，不做 ICO，不推出交易平台,18:55,2018-09-06 20:43:20
1,区块链安全公司 PeckShield 研究人员发现，RLPX 协议上存在一个命名为「Freether」的致命漏洞。攻击者可通过 geth discovery 协议实现缺陷，向受影响 geth 节点发起攻击，造成内存资源耗尽，进而使受影响节点全盘崩溃。由于 RLPX 协议更为底层，较此前披露的基于 geth LES 协议实现缺陷造成的「致命报文」漏洞，其影响面更广，危害程度更大。值得注意的是，该漏洞可被利用做类似 DDoS 的攻击，虽然可通过限制资源总量的方式在一定程度上控制其影响面扩大，却很难从根本上予以遏制。,区块链安全公司：以太坊高危漏洞「Freether」，可使 geth 节点全盘崩溃,16:48,2018-09-06 20:43:20
2,今日，巴比特资讯宣布对巴比特专栏作者完成数字身份认证，并将作者信息写入比原链区块，这是比原链官方自 2018 年 4 月主网上线以来首个信息上链的成功案例。巴比特专栏作者的身份认证信息，将永久记录在比原链（BTM）区块高度 87612 上，含 625 位作者姓名与巴比特致谢词。巴比特表示，本次专栏作者信息上链是对比原链知识产权上链的一次创新尝试，更是近 5 年巴比特原创内容生态的总结。查看地址：https://blockmeta.com/tx/ae410daafc9f4df8270f6d26f0fc8028e03032bbd594dfbe39c71f99b48ab189,比原链首次信息上链完成，巴比特 625 名专栏作者信息被永久记录,16:31,2018-09-06 20:43:20
3,ISC 互联网安全大会上，区块链安全公司 PeckShield 的总监罗元琮发表了题为《漫谈以太坊公链安全》的主题演讲，从系统角度阐述底层公链的安全问题。罗元琮指出，公链作为基础设施，一旦遭到攻击，其影响范围和危害程度超乎想象。PeckShield 在本次大会中披露了若干个以太坊公链上的致命漏洞，目前这些漏洞均已和以太坊基金会沟通并修复。,PeckShield 罗元琮：以太坊公链安全相较智能合约更不容忽视,16:10,2018-09-06 20:43:21
4,据韩联社消息，韩国金融监管局局长 Yoon Suk-heun 表示，由于数字货币交易跨国界、难追踪且风险巨大，因此必须建立一个全球性的监管体系来监控数字货币交易风险。他还表示，韩国旨在发展数字货币的底层技术区块链技术，但对于数字货币的投机性交易却绝不会手软。据悉，今年一月份韩国开始推行数字货币实名制交易系统，这便是韩国政府打击数字货币洗钱等犯罪活动的重要措施。,韩国金融监管局局长：有必要通过制定全球性规则来监控数字货币交易风险,13:15,2018-09-06 20:43:21
5,据东方卫报报道，中共南京市委、南京市人民政府印发《南京市优化营商环境 100 条》。文中指出，为加快形成法治化、国际化、便利化的营商环境，打造全国营商环境最优的示范城市，南京市将完善金融信用服务，在「我的南京」APP 上，建设全市科技区块链金融征信平台。,南京市将建设区块链金融征信平台,13:11,2018-09-06 20:43:21
6,据 ETHNews 消息，柏林将于 9 月 7 日举办一场名为 Proof of Work 的艺术展览，此次展览将专注于区块链和数字货币技术，此次展览以「由加密创建者制作的艺术品，由艺术家建造的加密实验室，以及从早于比特币的数字货币中获得灵感而创作的绘画和艺术品」为特色。,柏林将举办专注于区块链和数字货币的艺术展览,13:08,2018-09-06 20:43:21
7,据中山日报消息，广东省中山市将于 9 月启用区块链社区矫正监管系统。中山市司法局相关负责人介绍，在区块链的监管模式中，相关工作人员在平台上发布的信息其他人都可看到，监管从「单一化」变「全方位化」，起到了互相监督的作用，从而提升了社区矫正工作的效率。,广东中山市将启动区块链社区矫正监管系统,13:05,2018-09-06 20:43:21
8,在 2018 中国（上海）区块链技术创新峰会上，杨浦区印发了《促进区块链发展的若干政策规定（试行）》。该规定对区块链行业的发展给出了 12 条政策性支持，包括开办费补贴、办公用房补贴、联盟支持、融资支持等，该政策将于 2018 年 12 月 1 日起施行，有效期为 3 年。,上海杨浦区发布对区块链行业发展的 12 项支持政策,13:03,2018-09-06 20:43:21
9,0x 团队宣布，0x Protocol Version 2 已经部署到以太坊主网。更新包括合约打包、order-watcher 以及部署了合约地址的 0x.js。0x 团队也开放「赏金猎手」行动，鼓励程序员们为Version 2 寻找漏洞，奖金高达 10 万美元。安全审计报告将在数周后由 ConsenSys Diligence 和 SoHo Token LabsWe 联合完成。,0x Protocol Version 2 已经部署到以太坊主网,11:44,2018-09-06 20:43:21
