,brief,classes_name,header,news_url,pubtime,savetime
0,这项缺陷来自逻辑板，会导致“一小部分”iPhone 8意外重启、屏幕锁定或者无法打开。苹果将会免费提供逻辑板维修服务。,移动资讯,苹果承认部分iPhone 8存在硬件缺陷,http://news.iresearch.cn/content/2018/09/276400.shtml,2018-09-04,2018-09-06 20:42:30
1,8月31日凌晨，苹果官方正式宣布，将于北京时间9月13日凌晨1点（美国当地时间9月12日上午10 点）举办Apple 特别活动，届时活动的地点将是苹果总部Apple Park Campus 的Steve Jobs Theater。,移动资讯,苹果将于9月13日凌晨1点召开新品发布会,http://news.iresearch.cn/content/2018/08/276358.shtml,2018-08-31,2018-09-06 20:42:30
2,8月28日消息，据香港南华早报报道称，从美国电动汽车制造商特斯拉公司首席执行官埃隆·马斯克(Elon Musk)每周120小时工作时间说起，你可能不知道中国科技领域初创公司们的劳累程度和辛苦。,移动资讯,"马斯克周工作120小时在中国引共鸣：""996""太辛苦",http://news.iresearch.cn/content/2018/08/276300.shtml,2018-08-28,2018-09-06 20:42:30
3,外界普遍预计苹果将延续过去几年一如既往的模式，在今年9月份发布2018年款iPhone手机。即将到来的新机型发布意味着苹果需要一些新的东西来占据新闻头条。,移动资讯,iPhone新谣言又起 所有这些功能今年肯定没有,http://news.iresearch.cn/content/2018/08/276299.shtml,2018-08-28,2018-09-06 20:42:30
4,在苹果公司认定Facebook数据安全应用Onavo Protect违反其数据收集政策后，Facebook计划将Onavo从苹果App Store应用商店下架。,移动资讯,Facebook数据安全应用违反苹果数据收集政策 将下架,http://news.iresearch.cn/content/2018/08/276236.shtml,2018-08-23,2018-09-06 20:42:30
5,至于抖音对直播业务的影响， 其实我们的直播团队一直对包括抖音在内的各大直播和短视频平台都有比较密切的观察。,移动资讯,陌陌高管解读第二季度财报：抖音和快手对陌陌有什么影响？,http://news.iresearch.cn/content/2018/08/276234.shtml,2018-08-23,2018-09-06 20:42:30
6,从350万个活跃微信公众号，到创造了无数流量增长神话的小程序，在自带十亿级超级流量的微信生态帝国里，懂得流量增长及用户沉淀，成为改变新媒体人命运的必要法则。,移动资讯,艾瑞指数：新媒体行业观察（内附小程序及公众号榜单）,http://report.iresearch.cn/content/2018/08/276190.shtml,2018-08-21,2018-09-06 20:42:30
7,苹果公司日前证实，已经将苹果中国应用商店中涉及假彩票、赌博等非法App进行大规模下架。,移动资讯,苹果大规模下架非法App：约占1.4%将加强审核,http://news.iresearch.cn/content/2018/08/276177.shtml,2018-08-21,2018-09-06 20:42:30
8,第一手机界研究院院长孙燕飙认为，三星Galaxy Note9中S Pen的创新是对用户使用习惯的改变，而用户使用手机习惯的养成则是一个长期的过程。,移动资讯,被国产机完爆？三星或再关一家中国工厂 剩惠州一家,http://news.iresearch.cn/content/2018/08/276161.shtml,2018-08-20,2018-09-06 20:42:30
9,联通内部人士对《每日经济新闻》记者介绍，从2009年中国网通集团、中国联通集团正式合并以来，联通集团就一直在持续推进小股东的退出。2017年混改之后，在上市公司层面引入战略投资者，小股东在集团层面的历史价值已经完成。,移动资讯,5G建设前夕 11家小股东将清空所持中国联通集团股权,http://news.iresearch.cn/content/2018/08/276154.shtml,2018-08-20,2018-09-06 20:42:30
10,在莫斯科的公共场所，经常可以看到手拿中国品牌手机的俄罗斯人。短短几年时间，华为、联想、小米等中国手机品牌成功进入俄罗斯市场，给当地民众提供了更多样化的选择。,移动资讯,中国手机在俄罗斯实力“圈粉” 市场份额升至首位,http://news.iresearch.cn/content/2018/08/276112.shtml,2018-08-16,2018-09-06 20:42:31
11,按照以往惯例，今年苹果非常有望在 9 月份正式发布新一代 iPhone。现在最新来自供应链的消息显示，2018 年三款新 iPhone 都已经进入量产准备的最后阶段了，批量生产已经不远了，只剩下正式发布时间的揭晓。,移动资讯,苹果iPhone量产倒计时 只等最终发布时间,http://news.iresearch.cn/content/2018/08/276061.shtml,2018-08-14,2018-09-06 20:42:31
12,比如，两个人去游玩，一个人那安卓手机发朋友圈，用iPhone发朋友圈，由于微信的算法不同，两者的照片在其他人看来观感就会完全不同。,移动资讯,安卓又遭歧视 连刷朋友圈质量都比iOS低,http://news.iresearch.cn/content/2018/08/276044.shtml,2018-08-13,2018-09-06 20:42:31
13,8月13日消息，据国外媒体报道，三星上周发布了Galaxy Note 9智能手机，这也给消费者带来了一个难题：到底是现在花上1000美元将手中的旧手机更换成Galaxy Note 9，还是说等到明年5G革命到来后再对手机进行更新换代？,移动资讯,今年新手机尴尬：5G将至，消费者该不该现在买,http://news.iresearch.cn/content/2018/08/276033.shtml,2018-08-13,2018-09-06 20:42:31
14,,移动资讯,为抢在华为前头 三星可折叠智能手机或提前到2019年初推出,http://news.iresearch.cn/content/2018/08/276012.shtml,,2018-09-06 20:42:31
