,header,pub_time,url
0,云知声创新事业部总裁陈吉胜: 面向AIoT的人机交互云端芯演进之路,5小时前,https://ai.ofweek.com/news/2018-09/ART-201721-8470-30264333.html
1,宇视科技人工智能产品线总工程师李聪廷: 安防AI应用现状与展望,5小时前,https://ai.ofweek.com/news/2018-09/ART-201721-8470-30264338.html
2,微软AI新时代，大规模业务重组，降解Windows转型AI,6小时前,https://ai.ofweek.com/news/2018-09/ART-201721-8470-30264253.html
3,扎克伯格的AI芯：高调挖角，疯狂招人,6小时前,https://ai.ofweek.com/news/2018-09/ART-201714-8470-30264252.html
4,张健伟：产学研一体化，实现人工智能卓越未来,7小时前,https://ai.ofweek.com/news/2018-09/ART-201721-8470-30264325.html
5,IEEE Fellow 蔡自兴教授：人工智能产业化的战略思考,9小时前,https://ai.ofweek.com/news/2018-09/ART-201721-8120-30264336.html
6,伪概念泛滥，认知模糊，AI营销或需一场再教育,10小时前,https://ai.ofweek.com/news/2018-09/ART-201721-8440-30264156.html
7,德国汉堡科学院院士张建伟：AI赋能，人机共融,11小时前,https://ai.ofweek.com/news/2018-09/ART-201721-8500-30264091.html
8,香港科技大学王煜院士：AI机器人学习是未来市场无人技术的决定因素,11小时前,https://ai.ofweek.com/news/2018-09/ART-201721-8120-30264337.html
9,香港科技大学机器人研究院院长王煜：人工智能及机器人智能学习,11小时前,https://ai.ofweek.com/news/2018-09/ART-201721-8120-30264335.html
10,中国特色的医疗AI之路,11小时前,https://ai.ofweek.com/news/2018-09/ART-201721-8470-30264082.html
11,百度宣布与比亚迪联手，计划三年内量产自动驾驶车,12小时前,https://ai.ofweek.com/news/2018-09/ART-201716-8120-30264054.html
12,上海真时信息：让VR技术落地现实土壤,12小时前,https://ai.ofweek.com/news/2018-09/ART-201720-8500-30264057.html
13,无人配送会成为自动驾驶真实落地的黎明么？,18小时前,https://ai.ofweek.com/news/2018-09/ART-201721-8420-30264026.html
