,header,pub_time,url
0,35%？别担心了！国务院决定完善政策，确保创投基金税负总体不增,19:09,http://news.pedaily.cn/201809/435599.shtml
1,快讯|国美控股集团与车势公司达成合作，探索汽车新零售,18:17,http://pe.pedaily.cn/201809/435594.shtml
2,快讯|机大师获千万级 pre-A 轮融资 致力于打造手机后市场服务闭环,15:44,http://pe.pedaily.cn/201809/435584.shtml
3,快讯|每日优鲜完成新一轮4.5亿美元融资，自有品牌商品占比将提升至50%,11:32,http://pe.pedaily.cn/201809/435569.shtml
4,快讯|诚益生物完成亿元人民币A轮融资 由国药资本领投,10:00,http://pe.pedaily.cn/201809/435560.shtml
5,回收出千亿市场！回收宝获阿里巴巴C1轮战略投资,9:43,http://pe.pedaily.cn/201809/435559.shtml
6,快讯|电商服务企业D1M完成亿元A轮融资,8:30,http://pe.pedaily.cn/201809/435550.shtml
7,百度视频获得1亿美元B轮融资，百度领投晶凯资本、厚泽如意、国金基金跟投,17:19,http://pe.pedaily.cn/201809/435540.shtml
8,快讯|闲置物品一站式处理公司“闲转”获1000万元天使融资，赛富基金和盈动资本注资,16:41,http://news.pedaily.cn/201809/435536.shtml
9,快讯|在线编程教育品牌“斑马编程”完成数千万元Pre-A轮融资，兴旺投资领投,16:18,http://news.pedaily.cn/201809/435532.shtml
10,快讯|在线教育公司“考虫”完成5500万美元D轮融资，高瓴资本领投,16:00,http://news.pedaily.cn/201809/435531.shtml
11,快讯|医药电商B2C平台健客获1.3亿美元B轮融资，即将启动赴美上市,15:42,http://pe.pedaily.cn/201809/435530.shtml
12,快讯|在线理财教育机构“长投学堂”完成1亿元A轮融资，付费用户规模超200万,14:00,http://news.pedaily.cn/201809/435519.shtml
13,快讯|德和生物完成5200万A轮融资，正式启动50吨雨生红球藻生产基地建设项目,10:17,http://pe.pedaily.cn/201809/435505.shtml
14,西安市委常委、副市长高杲在2018全球创投峰会上致辞,10:09,http://news.pedaily.cn/201809/435401.shtml
15,连融5轮！帮夫妻店省钱的“拼便宜”获近亿元A+轮融资，启赋资本投资,9:27,http://news.pedaily.cn/201809/435399.shtml
16,快讯|深沪交易所联合体收购达卡交易所股权项目完成交割,9:25,http://pe.pedaily.cn/201809/435398.shtml
17,华人文化、红杉中国联合设立的中国健腾体育产业基金宣布投资爱奇艺体育，助力打造超级在线体育媒体平台,17:27,http://news.pedaily.cn/201809/435382.shtml
18,兑吧集团递交香港上市申请:2018上半年营收同比增长328%,16:31,http://pe.pedaily.cn/201809/435375.shtml
19,快讯|新氧完成7000万美金E轮融资，不到一年累计融资1.6亿美金,12:24,http://pe.pedaily.cn/201809/435360.shtml
