,classes_name,header,news_url,pubtime,savetime
0,[国内],中非合作论坛北京峰会开幕式上，习近平这样阐述中非关系,http://news.qq.com/a/20180906/093419.htm,09月06日19:17:00,2018-09-06 20:41:43
1,[国内],王毅就中非合作论坛北京峰会接受媒体采访,http://news.qq.com/a/20180906/089565.htm,09月06日17:56:44,2018-09-06 20:41:43
2,[国内],国际锐评丨马克龙在欧盟困境中逆流而上，中欧相向而行更显必要,http://news.qq.com/a/20180906/089504.htm,09月06日17:55:40,2018-09-06 20:41:43
3,[国内],99公益日，“推一把”行为公益接力爱心,http://news.qq.com/a/20180906/085682.htm,09月06日17:08:38,2018-09-06 20:41:43
4,[图片],非洲博茨瓦纳发生大规模猎杀 90头大象毙命象牙被拔除,http://news.qq.com/a/20180906/084152.htm,09月06日16:50:32,2018-09-06 20:41:43
5,[国内],中方：强烈敦促英方立即停止挑衅,http://news.qq.com/a/20180906/078758.htm,09月06日15:48:29,2018-09-06 20:41:43
6,[国内],中国为什么要和非洲合作？习近平这5句话给你答案,http://news.qq.com/a/20180906/077795.htm,09月06日15:35:45,2018-09-06 20:41:43
7,[国内],第1视点|习主席的12个小时,http://news.qq.com/a/20180906/062931.htm,09月06日12:29:50,2018-09-06 20:41:43
8,[国内],教育部回应湖南耒阳学生“分流”：在确保学生利益前提下解决问题,http://news.qq.com/a/20180906/059010.htm,09月06日11:49:27,2018-09-06 20:41:44
9,[国内],四川执行大会战全媒体直播成都金牛法院执行案,http://news.qq.com/a/20180906/054222.htm,09月06日10:49:48,2018-09-06 20:41:44
10,[国内],中非合作新高度 共筑未来新发展,http://news.qq.com/a/20180906/048308.htm,09月06日09:33:24,2018-09-06 20:41:44
11,[图片],陕西一小学开学一个班挤70多娃 有娃蹲坐墙角上课,http://news.qq.com/a/20180906/046056.htm,09月06日09:02:59,2018-09-06 20:41:44
12,[图片],云南2018年“松茸王” 1公斤1.2万元成交,http://news.qq.com/a/20180906/044472.htm,09月06日08:40:21,2018-09-06 20:41:44
13,[国内],科技日报评论：诺奖并非万金油，刹住诺奖得主“站台”的歪风,http://news.qq.com/a/20180906/042877.htm,09月06日08:19:07,2018-09-06 20:41:44
14,[国内],国家基本药物目录品种又有增加 新增抗肿瘤用药12种,http://news.qq.com/a/20180906/005247.htm,09月06日06:19:13,2018-09-06 20:41:44
15,[国际],日本北海道地区发生6.9级地震 多处建筑物倒塌,http://news.qq.com/a/20180906/001723.htm,09月06日02:21:24,2018-09-06 20:41:44
16,[社会],央视评高铁霸座事件：对不文明行为，我们真的难有作为？,http://news.qq.com/a/20180906/001445.htm,09月06日01:53:35,2018-09-06 20:41:44
