,brief,header,news_url,pubtime,savetime
0,据悉，黄恒将加入位于硅谷的京东大数据与智能供应链事业部研发中心，担任京东大数据首席科学家，他的工作重点将聚焦于京东大数据平台上的机器学习平台和深度学习平台研发、优化模 ...,美国匹兹堡大学黄恒加入京东 任大数据首席科学家,http://tech.sina.com.cn/i/2018-09-06/doc-ihitesuz3662135.shtml,大,2018-09-06 20:42:37
1,世界顶级科学家黄恒加入京东 任大数据首席科学家】京东集团宣布，美国匹兹堡大学John A.Jurenko 杰出冠名讲席教授黄恒博士加入京东。据悉，黄恒教授将加入位于硅谷的京东大数据与智能 ...,世界顶级科学家黄恒加入京东 任大数据首席科学家,http://finance.sina.com.cn/7x24/2018-09-06/doc-ihitesuz3524219.shtml,大数据,2018-09-06 20:42:37
2,工信部总经济师：推动互联网、大数据、人工智能和化纤行业深度融合】9月5日，工信部总经济师王新哲出席世界纤维新材料大会暨第24届中国国际化纤会议。王新哲强调，当前世界化纤 ...,工信部总经济师：推动互联网、大数据、人工智能和化纤行业深度融合,http://finance.sina.com.cn/7x24/2018-09-06/doc-ihitesuy9378822.shtml,大数据,2018-09-06 20:42:37
3,原标题：2018中国气象“神·气”大数据算法与应用大赛开始报名 中国天气网讯 2018中国气象“神·气”大数据算法与应用大赛于今天（6日）正式拉开序幕。此次大赛面向高校、科研院所 ...,2018中国气象 “神·气”大数据算法与应用大赛开始报名,http://news.sina.com.cn/o/2018-09-06/doc-ihiixyeu4371876.shtml,大数据,2018-09-06 20:42:37
4,新华网北京9月5日电（于子茹）记者今天从最高法获悉，中国司法大数据研究院的一份专题报告显示，近三年校园暴力案件呈逐年下降趋势：2015年全国各级人民法院一审审结校园暴力案件共 ...,司法大数据: 近三年校园暴力案件呈下降趋势,http://news.sina.com.cn/sf/news/fzrd/2018-09-06/doc-ihitesuy9628256.shtml,大数据,2018-09-06 20:42:37
5,日电（记者张铎 高洁）记者近日从中国司法大数据研究院获悉，近三年来，我国校园暴力案件呈逐年下降趋势，“宿舍”成为校园暴力案件中的高频词语。中国司法大数据研究院近日发布了 ...,司法大数据显示：校园暴力案件逐年下降 宿舍成为“高发地”,http://finance.sina.com.cn/roll/2018-09-06/doc-ihitesuy9739854.shtml,大数据,2018-09-06 20:42:37
6,哪些省市的儿童拐卖犯罪最为猖獗？中国的儿童拐卖网络有着怎样的特征？打击此类犯罪，应该重点关注哪些地区？抓取了寻子网站“宝贝回家”的上万条数据后，武汉大学王真团队建立的 ...,中国儿童拐卖地图:大数据显示，北上蓉渝+莆田是重点,http://tech.sina.com.cn/d/f/2018-09-04/doc-ihiixyeu3042954.shtml,大数据,2018-09-06 20:42:37
7,原标题：审计署郑州特派办：利用大数据助推生态环境审计 近日，审计署郑州特派办在审计中充分运用大数据审计思维，利用历年遥感数据，通过筛查疑点、比对分析方法确定疑点地理位置 ...,审计署郑州特派办：利用大数据助推生态环境审计,http://news.sina.com.cn/o/2018-09-06/doc-ihitesuy9104423.shtml,大数据,2018-09-06 20:42:38
8,原标题：河南林州：布局大数据应用 推进大数据强审 近日，河南省林州市审计局积极谋划推进大数据技术辅助审计，提出大数据强审规划，从三个方面着力提前做好大数据应用布局，加快 ...,河南林州：布局大数据应用 推进大数据强审,http://news.sina.com.cn/o/2018-09-06/doc-ifxeuwwr4203469.shtml,大数据,2018-09-06 20:42:38
9,向大数据杀熟、拒退押金等宣战，《电子商务法》草案通过 经济观察网记者 冯庆艳 实习记者 杨雪梅 2018年8月31日，十三届全国人大常委会第五次会议表决通过《电子商务法》，将于2019年1月 ...,电子商务法草案通过：向大数据杀熟、拒退押金等宣战,http://finance.sina.com.cn/chanjing/cyxw/2018-09-05/doc-ihitesuy7364407.shtml,大数据,2018-09-06 20:42:38
